timestamp_utc,tracking_id,parent_market_name,primary_outcome_to_track,comparison_price,row_raw_fair_value,row_norm_fair_value,group_prompt_fair_value,raw_gap,normalized_gap,group_prompt_gap,raw_abs_gap,normalized_abs_gap,group_prompt_abs_gap,raw_direction,normalized_direction,group_prompt_direction,raw_minus_norm,group_prompt_minus_row_norm,group_mass_flag,use_normalized_for_analysis,price_type,liquidity_flags
2026-06-29T18:23:26Z,RSO-0001,"Senate control, 2026",Republican Party,0.575,0.65,0.65,,0.075,0.075,,0.075,0.075,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0002,"Senate control, 2026",Democratic Party,0.425,0.35,0.35,,-0.075,-0.075,,0.075,0.075,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0003,"House control, 2026",Republican Party,0.175,0.45,0.45,,0.275,0.275,,0.275,0.275,,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0004,"House control, 2026",Democratic Party,0.835,0.55,0.55,,-0.285,-0.285,,0.285,0.285,,MARKET_HIGHER,MARKET_HIGHER,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0005,Republican House seats after 2026 midterms,Below 190,0.305,0.15,0.0375,0.05263158,-0.155,-0.2675,-0.25236842,0.155,0.2675,0.25236842,MARKET_HIGHER,MARKET_HIGHER,MARKET_HIGHER,0.1125,0.01513158,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0006,Republican House seats after 2026 midterms,190-194,0.125,0.35,0.0875,0.07368421,0.225,-0.0375,-0.05131579,0.225,0.0375,0.05131579,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.2625,-0.01381579,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0007,Republican House seats after 2026 midterms,195-199,0.165,0.45,0.1125,0.12631579,0.285,-0.0525,-0.03868421,0.285,0.0525,0.03868421,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.3375,0.01381579,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0008,Republican House seats after 2026 midterms,200-204,0.086,0.45,0.1125,0.15789474,0.364,0.0265,0.07189474,0.364,0.0265,0.07189474,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.3375,0.04539474,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0009,Republican House seats after 2026 midterms,205-209,0.064,0.45,0.1125,0.18947368,0.386,0.0485,0.12547368,0.386,0.0485,0.12547368,LLM_HIGHER,NO_SIGNAL,LLM_HIGHER,0.3375,0.07697368,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0010,Republican House seats after 2026 midterms,210-214,0.0575,0.45,0.1125,0.15789474,0.3925,0.055,0.10039474,0.3925,0.055,0.10039474,LLM_HIGHER,NO_SIGNAL,LLM_HIGHER,0.3375,0.04539474,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0011,Republican House seats after 2026 midterms,215-219,0.0975,0.45,0.1125,0.10526316,0.3525,0.015,0.00776316,0.3525,0.015,0.00776316,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.3375,-0.00723684,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0012,Republican House seats after 2026 midterms,220-224,0.077,0.35,0.0875,0.05263158,0.273,0.0105,-0.02436842,0.273,0.0105,0.02436842,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.2625,-0.03486842,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0013,Republican House seats after 2026 midterms,225-229,0.0395,0.45,0.1125,0.03157895,0.4105,0.073,-0.00792105,0.4105,0.073,0.00792105,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.3375,-0.08092105,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0014,Republican House seats after 2026 midterms,230+,0.0185,0.45,0.1125,0.05263158,0.4315,0.094,0.03413158,0.4315,0.094,0.03413158,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.3375,-0.05986842,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0015,Republican Senate seats after 2026 midterms,≤47,0.255,0.15,0.065217,0.05,-0.105,-0.189783,-0.205,0.105,0.189783,0.205,MARKET_HIGHER,MARKET_HIGHER,MARKET_HIGHER,0.084783,-0.015217,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0021,Republican Senate seats after 2026 midterms,53,0.036,0.55,0.23913,0.35,0.514,0.20313,0.314,0.514,0.20313,0.314,LLM_HIGHER,LLM_HIGHER,LLM_HIGHER,0.31087,0.11087,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0022,Republican Senate seats after 2026 midterms,54,0.0155,0.35,0.152174,0.25,0.3345,0.136674,0.2345,0.3345,0.136674,0.2345,LLM_HIGHER,LLM_HIGHER,LLM_HIGHER,0.197826,0.097826,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0023,Republican Senate seats after 2026 midterms,55,0.0165,0.35,0.152174,0.2,0.3335,0.135674,0.1835,0.3335,0.135674,0.1835,LLM_HIGHER,LLM_HIGHER,LLM_HIGHER,0.197826,0.047826,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0024,Republican Senate seats after 2026 midterms,56,0.0105,0.35,0.152174,0.1,0.3395,0.141674,0.0895,0.3395,0.141674,0.0895,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0.197826,-0.052174,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0025,Republican Senate seats after 2026 midterms,57+,0.0135,0.55,0.23913,0.05,0.5365,0.22563,0.0365,0.5365,0.22563,0.0365,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0.31087,-0.18913,llm_mass_too_high|market_mass_low,true,mid,
2026-06-29T18:23:26Z,RSO-0026,Maine Senate Election Winner,Democrat,0.615,0.45,0.5,,-0.165,-0.115,,0.165,0.115,,MARKET_HIGHER,MARKET_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
2026-06-29T18:23:26Z,RSO-0027,Maine Senate Election Winner,Republican,0.385,0.45,0.5,,0.065,0.115,,0.065,0.115,,NO_SIGNAL,LLM_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
2026-06-29T18:23:26Z,RSO-0028,Texas Senate Election Winner,Ken Paxton (R),0.565,0.65,0.590909,,0.085,0.025909,,0.085,0.025909,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0.059091,,,false,mid,
2026-06-29T18:23:26Z,RSO-0029,Texas Senate Election Winner,James Talarico (D),0.42,0.45,0.409091,,0.03,-0.010909,,0.03,0.010909,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0.040909,,,false,mid,
2026-06-29T18:23:26Z,RSO-0030,Alaska Senate Election Winner,Mary Peltola,0.695,0.45,0.272727,0.35,-0.245,-0.422273,-0.345,0.245,0.422273,0.345,MARKET_HIGHER,MARKET_HIGHER,MARKET_HIGHER,0.177273,0.077273,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0031,Alaska Senate Election Winner,Dan Sullivan,0.305,0.55,0.333333,0.45,0.245,0.028333,0.145,0.245,0.028333,0.145,LLM_HIGHER,NO_SIGNAL,LLM_HIGHER,0.216667,0.116667,llm_mass_too_high,true,mid,
2026-06-29T18:23:26Z,RSO-0032,Alaska Senate Election Winner,Dustin Darden,0.001,0.15,0.090909,0.05,0.149,0.089909,0.049,0.149,0.089909,0.049,LLM_HIGHER,NO_SIGNAL,NO_SIGNAL,0.059091,-0.040909,llm_mass_too_high,true,ask_only,no_bids
2026-06-29T18:23:26Z,RSO-0033,Alaska Senate Election Winner,Ann Diener,0.001,0.25,0.151515,0.05,0.249,0.150515,0.049,0.249,0.150515,0.049,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0.098485,-0.101515,llm_mass_too_high,true,ask_only,no_bids
2026-06-29T18:23:26Z,RSO-0034,Alaska Senate Election Winner,Richard Grayson,0.001,0.25,0.151515,0.1,0.249,0.150515,0.099,0.249,0.150515,0.099,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0.098485,-0.051515,llm_mass_too_high,true,ask_only,no_bids
2026-06-29T18:23:26Z,RSO-0035,Nebraska Senate Election Winner,Republican,0.655,0.55,0.478261,0.45,-0.105,-0.176739,-0.205,0.105,0.176739,0.205,MARKET_HIGHER,MARKET_HIGHER,MARKET_HIGHER,0.071739,-0.028261,,true,mid,
2026-06-29T18:23:26Z,RSO-0036,Nebraska Senate Election Winner,Independent,0.27,0.15,0.130435,0.05,-0.12,-0.139565,-0.22,0.12,0.139565,0.22,MARKET_HIGHER,MARKET_HIGHER,MARKET_HIGHER,0.019565,-0.080435,,true,mid,
2026-06-29T18:23:26Z,RSO-0037,Nebraska Senate Election Winner,Democrat,0.0235,0.45,0.391304,0.5,0.4265,0.367804,0.4765,0.4265,0.367804,0.4765,LLM_HIGHER,LLM_HIGHER,LLM_HIGHER,0.058696,0.108696,,true,mid,
2026-06-29T18:23:26Z,RSO-0038,Michigan Senate Election Winner,Democrat,0.72,0.45,0.5,,-0.27,-0.22,,0.27,0.22,,MARKET_HIGHER,MARKET_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
2026-06-29T18:23:26Z,RSO-0039,Michigan Senate Election Winner,Republican,0.275,0.45,0.5,,0.175,0.225,,0.175,0.225,,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
2026-06-29T18:23:26Z,RSO-0040,Ohio Senate Election Winner,Sherrod Brown (D),0.555,0.55,0.55,,-0.005,-0.005,,0.005,0.005,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0041,Ohio Senate Election Winner,Jon Husted (R),0.44,0.45,0.45,,0.01,0.01,,0.01,0.01,,NO_SIGNAL,NO_SIGNAL,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0042,North Carolina Senate Election Winner,Roy Cooper (D),0.865,0.55,0.55,,-0.315,-0.315,,0.315,0.315,,MARKET_HIGHER,MARKET_HIGHER,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0043,North Carolina Senate Election Winner,Michael Whatley (R),0.145,0.45,0.45,,0.305,0.305,,0.305,0.305,,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,0,,,false,mid,
2026-06-29T18:23:26Z,RSO-0044,Georgia Senate Election Winner,Democrat,0.855,0.45,0.5,,-0.405,-0.355,,0.405,0.355,,MARKET_HIGHER,MARKET_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
2026-06-29T18:23:26Z,RSO-0045,Georgia Senate Election Winner,Republican,0.1485,0.45,0.5,,0.3015,0.3515,,0.3015,0.3515,,LLM_HIGHER,LLM_HIGHER,NO_SIGNAL,-0.05,,,false,mid,
